date,value
2021-06-30,264
2020-10-15,1009
2023-04-04,277
2020-07-15,1081
2022-02-04,2521
2021-01-02,2710
2020-06-26,854
2021-04-02,1045
2021-09-02,1882
2020-06-02,1362
2022-08-31,831
2022-10-25,464
2021-03-27,994
2022-12-22,776
2022-03-09,593
2022-11-28,505
2021-11-07,828
2021-08-30,1700
2021-03-04,1266
2022-02-10,1990
2020-10-10,943
2020-08-13,1258
2021-07-18,296
2022-09-07,794
2020-04-23,1379
2020-09-26,924
2020-09-15,1015
2021-06-26,232
2022-07-19,701
2023-01-06,1101
2022-02-18,1424
2021-02-23,1621
2020-07-29,1350
2021-04-30,950
2021-12-25,1634
2020-05-12,1529
2021-05-21,619
2020-09-01,1039
2022-06-15,566
2021-12-08,1208
2022-01-02,2405
2021-11-11,854
2020-04-15,1298
2022-04-25,176
2023-01-27,717
2020-09-30,908
2020-10-11,924
2021-03-21,994
2023-04-05,277
2022-12-05,630
2020-05-30,1471
2023-04-19,176
2021-08-15,1145
2020-12-09,2004
2022-07-18,676
2022-05-19,412
2021-04-22,1104
2021-02-07,2303
2021-12-09,1189
2022-05-09,261
2022-08-23,815
2020-12-29,2698
2022-01-06,3094
2022-04-29,186
2020-11-27,1593
2020-05-14,1533
2022-03-18,451
2021-07-09,257
2021-07-11,245
2022-02-03,2578
2022-07-15,641
2022-06-01,588
2022-07-08,659
2020-08-30,1090
2022-09-09,735
2020-11-16,1337
2020-10-07,1003
2021-11-09,857
2020-09-12,995
2020-11-03,1026
2022-12-19,713
2020-12-31,2744
2021-07-05,195
2020-05-06,1594
2021-10-24,1222
2020-09-03,1130
2021-05-20,587
2021-05-02,858
2023-03-16,317
2020-08-02,1173
2020-11-21,1507
2020-06-29,796
2021-05-16,656
2020-07-16,1134
2020-04-29,1566
2020-09-11,1120
2022-11-03,481
2022-02-12,1786
2021-11-23,863
2021-04-14,1060
2022-08-04,819
2022-04-11,150
2021-09-11,2188
2021-05-22,561
2020-05-20,1536
2022-03-05,709
2022-08-01,757
2022-02-20,1270
2021-06-11,367
2021-10-18,1388
2021-07-23,415
2023-02-08,601
2022-05-26,524
2021-12-24,1579
2021-06-29,286
2022-11-08,515
2020-08-18,1253
2021-10-05,1807
2022-02-21,1221
2023-01-23,793
2021-07-26,415
2023-02-10,577
2022-06-06,560
2021-01-11,3117
2020-06-21,863
2022-11-15,456
2021-06-17,307
2023-01-16,905
2021-02-17,1823
2023-03-24,248
2021-02-16,1849
2021-02-09,2248
2022-06-27,529
2021-07-30,453
2020-09-14,1006
2021-01-14,3196
2022-01-25,3603
2021-04-17,1032
2020-10-20,937
2020-08-06,1349
2022-01-28,3197
2021-12-29,2014
2021-11-13,842
2022-03-25,321
2020-09-28,890
2020-08-31,1082
2023-03-15,314
2020-10-01,913
2020-12-04,1854
2023-02-13,557
2021-10-12,1585
2021-06-22,263
2022-09-08,754
2020-10-18,972
2022-01-16,3817
2021-01-15,3147
2022-11-29,543
2021-07-02,247
2022-11-30,582
2021-02-25,1488
2022-10-10,515
2022-08-09,759
2021-09-18,2185
2022-08-16,786
2022-06-10,574
2023-04-10,254
2021-11-01,934
2020-07-27,1200
2021-06-13,323
2021-05-08,799
2021-05-05,896
2020-11-19,1569
2020-08-17,1173
2020-07-01,892
2021-08-22,1310
2021-01-06,2925
2020-12-28,2563
2023-04-06,282
2022-03-02,834
2021-09-29,2033
2021-09-19,2103
2020-06-06,1171
2022-02-01,2924
2021-07-31,475
2020-11-30,1658
2022-06-21,556
2021-01-01,2754
2022-02-23,1080
2021-03-29,1043
2022-03-30,282
2020-05-22,1459
2021-05-31,481
2020-12-14,2226
2021-01-23,2927
2020-08-15,1271
2022-12-29,910
2022-12-06,644
2020-04-21,1331
2021-11-14,829
2021-08-25,1485
2021-12-12,1276
2021-08-07,751
2021-05-01,885
2022-06-09,569
2020-10-19,972
2021-03-19,1035
2021-12-13,1278
2020-12-23,2586
2022-11-04,489
2021-02-08,2285
2021-11-02,954
2023-01-05,1128
2020-04-14,1282
2020-12-06,1969
2021-02-15,1833
2020-08-10,1251
2023-02-15,551
2021-06-25,250
2022-04-20,166
2021-10-31,949
2022-03-12,474
2022-09-16,657
2022-03-10,530
2021-01-25,2892
2021-04-07,1059
2021-11-15,829
2022-08-30,830
2021-04-15,1052
2020-11-05,1064
2022-10-20,456
2022-07-27,797
2022-06-24,532
2021-01-27,2868
2021-05-15,700
2022-05-11,289
2020-11-07,1062
2021-09-06,1981
2021-06-24,248
2020-10-25,979
2022-01-22,3750
2021-12-16,1430
2020-09-09,1072
2022-04-26,185
2020-11-15,1284
2022-10-26,491
2020-11-26,1601
2021-03-01,1321
2021-08-06,724
2020-04-25,1405
2021-09-28,2111
2022-09-27,571
2021-07-25,427
2022-04-15,150
2021-04-27,1009
2020-04-27,1455
2020-07-25,1201
2020-10-22,1109
2020-12-19,2429
2021-02-04,2444
2020-10-24,979
2022-03-21,408
2022-05-24,472
2020-11-24,1496
2022-12-30,961
2021-09-14,2117
2020-09-20,939
2021-03-26,998
2021-02-06,2376
2020-10-21,1010
2022-08-17,780
2020-05-18,1502
2020-05-08,1625
2020-09-13,1012
2022-05-23,459
2022-02-19,1334
2022-02-05,2382
2022-03-22,391
2021-09-15,2155
2021-10-10,1585
2023-03-20,288
2020-07-17,1171
2021-02-12,2117
2021-01-28,2706
