date,value
2022-02-12,1237
2022-02-19,1512
2022-02-26,1669
2022-03-05,1889
2022-03-12,2223
2022-03-19,2760
2022-03-26,3061
2022-04-02,3149
2022-04-09,3287
2022-04-16,3441
2022-04-23,3588
2022-04-30,3347
2022-05-07,3252
2022-05-14,3219
2022-05-21,3219
2022-05-28,2846
2022-06-04,2802
2022-06-11,2286
2022-06-18,1890
2022-06-25,1486
2022-07-02,1170
2022-07-09,884
2022-07-16,861
2022-07-23,708
2022-07-30,619
2022-08-06,623
2022-08-13,572
2022-08-20,574
2022-08-27,576
2022-09-03,601
2022-09-10,615
2022-09-17,658
2022-09-24,696
2022-10-01,891
2022-10-08,1276
2022-10-15,1618
2022-10-22,2243
2022-10-29,4108
2022-11-05,6303
2022-11-12,8521
2022-11-19,10894
2022-11-26,18163
2022-12-03,26602
2022-12-10,24098
2022-12-17,21612
2022-12-24,19632
2022-12-31,19448
2023-01-07,14101
2023-01-14,7231
2023-01-21,4489
2023-01-28,3069
2023-02-04,2410
2023-02-11,2178
2023-02-18,1901
2023-02-25,1657
2023-03-04,1496
2023-03-11,1373
2023-03-18,1428
2023-03-25,1300
2023-04-01,1276
2023-04-08,1200
2023-04-15,1058
2023-04-22,986
2023-04-29,908
2023-05-06,910
2023-05-13,974
2023-05-20,903
2023-05-27,942
2023-06-03,933
2023-06-10,923
2023-06-17,855
2023-06-24,816
2023-07-01,802
2023-07-08,671
2023-07-15,710
2023-07-22,609
2023-07-29,657
2023-08-05,680
2023-08-12,701
2023-08-19,742
2023-08-26,776
2023-09-02,872
2023-09-09,803
2023-09-16,820
2023-09-23,959
2023-09-30,1089
2023-10-07,1116
2023-10-14,1218
2023-10-21,1474
2023-10-28,1610
2023-11-04,1974
2023-11-11,2695
2023-11-18,3422
2023-11-25,4240
2023-12-02,5752
2023-12-09,7178
2023-12-16,9886
2023-12-23,15134
2023-12-30,21030
2024-01-06,18938
2024-01-13,15286
2024-01-20,12795
2024-01-27,12449
2024-02-03,11317
2024-02-10,11016
2024-02-17,10755
2024-02-24,10440
2024-03-02,10500
2024-03-09,9117
2024-03-16,7272
2024-03-23,5904
2024-03-30,5430
2024-04-06,4930
