date,cases_reported,cli_visits,viralload
2021-09-12,24987.0,26380.0,28.42655180519342
2021-09-19,22092.0,23494.0,28.086506771134932
2021-09-26,19486.0,21279.0,28.23933821157455
2021-10-03,17243.0,19675.0,27.38524664229382
2021-10-10,14071.0,16433.0,27.755509028781876
2021-10-17,11102.0,14513.0,27.43821226802417
2021-10-24,9408.0,13377.0,27.889730353618607
2021-10-31,8850.0,13360.0,28.128005340106156
2021-11-07,9175.0,14293.0,27.91023058785467
2021-11-14,11283.0,15268.0,28.178395023583608
2021-11-21,9303.0,14798.0,27.858812247265696
2021-11-28,15603.0,19011.0,28.98463722282678
2021-12-05,17647.0,20610.0,28.97679076324999
2021-12-12,21681.0,23959.0,28.964441705236016
2021-12-19,42670.0,33968.0,30.178979805912313
2021-12-26,89359.0,58838.0,30.694328039775595
2022-01-02,110540.0,51120.0,31.152892720227303
2022-01-09,123037.0,40134.0,31.003846250269458
2022-01-16,87826.0,26491.0,30.097251481338105
2022-01-23,67264.0,20431.0,29.06591256057314
2022-01-30,40006.0,14168.0,29.28919453198696
2022-02-06,27556.0,11315.0,28.54318570190775
2022-02-13,18273.0,9415.0,27.995352643365738
2022-02-20,11940.0,8275.0,27.877967337239365
2022-02-27,8481.0,7830.0,26.760735087307726
2022-03-06,6884.0,7134.0,27.026985679415198
2022-03-13,6527.0,7272.0,26.971734050656927
2022-03-20,5087.0,7004.0,27.249394584415608
2022-03-27,4872.0,7250.0,27.527027428469307
2022-04-03,6706.0,7542.0,27.627927321725757
2022-04-10,7451.0,7590.0,28.672192013714206
2022-04-17,8438.0,8180.0,28.5041323799359
2022-04-24,11144.0,9660.0,28.60611883677409
2022-05-01,15126.0,11638.0,28.973818665252864
2022-05-08,18923.0,14038.0,28.94988221993247
2022-05-15,22812.0,15820.0,29.439193351120213
2022-05-22,21962.0,15471.0,29.16697029839431
2022-05-29,20106.0,16604.0,28.857149748071855
2022-06-05,19202.0,15857.0,29.99314940011871
2022-06-12,17154.0,14732.0,29.61740007940321
2022-06-19,17907.0,14656.0,29.284844693503754
2022-06-26,19759.0,14734.0,28.866769250069485
2022-07-03,18998.0,15188.0,29.43692539075513
2022-07-10,21104.0,15103.0,29.072650513647393
2022-07-17,21221.0,16039.0,29.445735834545168
2022-07-24,21050.0,16252.0,29.146777433956718
2022-07-31,19810.0,15666.0,29.261650097545385
2022-08-07,18347.0,15784.0,28.87539625317931
2022-08-14,17321.0,15579.0,29.062877497918393
2022-08-21,17464.0,15948.0,28.61452074423293
2022-08-28,16445.0,15355.0,28.652711167231676
2022-09-04,12476.0,14986.0,29.11678098673807
2022-09-11,11081.0,14820.0,29.03825434884599
2022-09-18,9532.0,15251.0,28.01299868107824
2022-09-25,7917.0,14621.0,28.23898021077199
2022-10-02,7216.0,14387.0,28.333510649108174
2022-10-09,7208.0,15255.0,28.268978184267993
2022-10-16,6956.0,16318.0,28.430197531929387
2022-10-23,7735.0,19636.0,28.669613155468724
2022-10-30,7326.0,21815.0,28.71158098326287
2022-11-06,6856.0,20119.0,27.99115677734844
2022-11-13,5487.0,18055.0,28.046552546012467
2022-11-20,5961.0,18655.0,29.450547227071205
2022-11-27,10395.0,20200.0,29.904627729563405
2022-12-04,10525.0,18641.0,29.39630979992466
2022-12-11,12983.0,18962.0,29.982201442617697
2022-12-18,15249.0,19448.0,30.162250008831023
2022-12-25,16110.0,21303.0,30.30894537861611
2023-01-01,16039.0,20100.0,29.881947744066697
2023-01-08,11902.0,15380.0,30.11944642879056
2023-01-15,10167.0,14704.0,29.638368820369063
2023-01-22,10068.0,14631.0,29.983971988546855
2023-01-29,8415.0,14805.0,29.456585565383516
2023-02-05,7739.0,15042.0,29.34886730831719
2023-02-12,6292.0,13569.0,28.858308406963324
2023-02-19,5111.0,12527.0,27.86387484529678
2023-02-26,4842.0,11861.0,27.42301594656141
2023-03-05,3045.0,11232.0,27.34075015625589
2023-03-12,2649.0,11385.0,27.94417100865727
2023-03-19,2809.0,11462.0,28.487145862135684
2023-03-26,2465.0,10305.0,28.080680058052064
2023-04-02,2238.0,9291.0,27.52192793170775
2023-04-09,1734.0,8987.0,27.70435357184704
2023-04-16,1631.0,8758.0,27.37586469284982
2023-04-23,1409.0,8548.0,27.4175872618257
2023-04-30,1477.0,8736.0,26.440916814835205
